Organization Name,Homepage URL,Last Funding Type,Last Funding Amount,Last Funding Date
Crossover Markets Group,https://www.crossovermarkets.com,Series B,"$31,000,000",2026-03-04
Fortem Technologies,https://www.fortemtech.com/,Series B,"$25,000,000",2026-04-22
Selector,https://www.selector.ai,Series B,"$32,000,000",2026-02-18
Ownwell,https://www.ownwell.com,Series B,"$30,000,000",2026-02-19
Jazz,https://jazz.security,Series A,"$43,000,000",2026-03-10
TransFi,https://www.transfi.com,Series A,"$14,200,000",2026-03-18
Cambium,https://cambiumglobal.com,Series B,"$100,000,000",2026-01-05
Echo,https://www.echo.ai/,Series A,"$35,000,000",2025-12-16
Stars + Honey,https://starsandhoney.com,Series A,"$24,000,000",2026-06-09
Ethermed,https://www.ethermed.ai/,Series A,"$8,500,000",2026-04-16
Cogent Security,https://www.cogent.com,Series A,"$42,000,000",2026-02-18
Vori,https://www.vori.com/,Series B,"$22,000,000",2026-05-06
Zip Security,https://www.zipsec.com,Series A,"$13,500,000",2025-07-14
Kobalt Labs,https://www.kobaltlabs.com,Series A,"$11,000,000",2025-12-03
Native,https://www.native.security,Series A,"$31,000,000",2026-03-17
ZaiNar,https://zainartech.com,Series B,"$100,000,000",2026-02-19
definity,https://definity.ai,Series A,"$12,000,000",2026-04-29
